procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 555200  27020   3644 164388    0    0     0     0  750  438  0 14 86  0  0
 1  0 555200  29452   3644 164392    0    0     0     0  743  447  1 13 86  0  0
 0  0 555200  29464   3644 164396    0    0     0     0  694  393  0  7 93  0  0
 0  0 555200  29784   3652 164388    0    0     0    28  698  469  0 10 90  1  0
 0  0 555200  29096   3652 164400    8    0     8    24  788  486  1  7 92  0  0
 0  0 555200  29612   3652 164404    0    0     0     4  784  469  0 11 89  0  0
 2  0 555200  27548   3652 164408    0    0     0     0  722  433  0  7 93  0  0
 0  0 555200  29708   3652 164408    0    0     0     0  829  501  0 13 87  0  0
 0  0 555200  29464   3660 164416    0    0     0    28  746  466  0 10 89  1  0
 1  0 555200  29312   3660 164416    0    0     0    20  726  456  0  8 92  0  0
 0  0 555200  29220   3660 164420    0    0     0     0  707  410  0  9 91  0  0
 0  0 555200  30284   3660 164424    0    0     0     4  793  421  0 11 89  0  0
 0  0 555200  29900   3660 164428    0    0     0     0  861  403  1 14 86  0  0
 0  0 555200  29252   3668 164432    0    0     0    28  796  461  0 10 90  0  0
 0  0 555200  29240   3668 164436    4    0     4    20  742  419  0 10 90  1  0
 0  0 555200  30264   3668 164436    0    0     0     0  782  503  0 11 89  0  0
 1  0 555200  28660   3448 163724   20    0  3220     0  970  714  1 14 84  1  0
 6  0 555200  18852   3448 167520    0   40  8064    44 1505 1158  0 59 40  1  0
 1  0 555200  23080   3456 167524    0    0     0    28 1879 1461  0 49 51  0  0
 0  0 555200  26368   3456 167528    0    0     0    24 1580  840  0 32 68  0  0
 1  0 555200  17412   3456 167364    0   24     0    24 1392  868  1 36 63  0  0
 3  0 555200  22232   3456 167368    0    0     0     0 1332  757  0 26 74  0  0
 0  0 555200  27196   3456 167372    0    0     0     0 1371  659  0 24 76  0  0
 0  0 555200  26328   3464 167376    0    0     0    32 1392  654  0 24 76  1  0
 2  0 555200  21412   3464 167380    0    0     0    24 1633  763  1 29 71  0  0
 1  1 555968  27272   3464 163764    4  604     4   604 1138  646  0 29 71  0  0
 3  0 555968  25436   3464 163732    0    0     0     0 1403  683  0 26 74  0  0
 0  0 555968  24236   3464 163732    0    0     0     0 1229  727  0 36 64  0  0
 0  0 555968  31364   3472 163740    0    0     0    28 1436  827  0 36 63  1  0
 0  0 555968  30352   3472 163744    0    0     0    28 1156  703  1 22 77  0  0
 0  0 555968  29568   3472 163748    0    0     0     0 1368  748  0 31 69  0  0
 4  0 555968  30388   3472 163748    0    0     0     0 1152  562  1 24 75  0  0
 1  0 555968  25632   3472 163756    0    0     0     0 1265  720  0 29 71  0  0
 3  0 555968  19676   3480 167400  448    0  4100    36 1477 1090  1 34 62  3  0
 0  0 555712  24728   3480 168496  320   16  1524    36 1534 1031  0 40 58  2  0
 0  0 555712  24732   3480 168496    0    0     0     4 1564  837  0 32 68  0  0
 0  0 555712  23700   3480 168500    0    0     0     0 1593  752  0 30 70  0  0
 1  0 554432  21392   3480 169192  104   24   513    24 1590 1363  1 37 62  1  0
 0  1 554432  22960   3488 169188    0    0     0    28 1561  812  0 33 67  0  0
 0  0 554432  24448   3488 169200   16    0    16    24 1211  694  0 21 79  1  0
 0  0 554432  25188   3488 169204    0    0     0     0 1359  820  0 32 68  0  0
 0  0 554432  24452   3488 169208    0    0     0     4 1237  653  0 19 81  0  0
 2  0 554432  21908   3488 169212    0    0     0     0 1337  744  0 27 73  0  0
 0  0 554432  24668   3488 169212    0    0     0     0 1388  634  0 28 72  0  0
 2  0 554432  13412   3496 169316    0    0   128    48 1164  708  1 35 64  0  0
 2  0 554432  20552   3496 168488    0  156     0   156 1559  762  0 35 65  0  0
 0  0 554432  25336   3496 168492    0    0     0     0 1000  541  0 22 78  0  0
 0  0 554432  25420   3496 168496    0    0     0     4 1158  773  0 30 70  0  0
 1  1 554432  24756   3504 168500   12    0    12    28 1402  756  0 36 63  1  0
 0  0 554944  22480   3504 165428    0  544     0   544 1550  802  0 31 69  0  0
 0  0 554944  24216   3504 165384    0    0     0    24 1787  834  0 35 65  0  0
 1  0 554944  27960   3504 165388    0    0     0     0 1236  618  0 24 76  0  0
 1  0 554944  24520   3504 165468    0    0    46     0  976  591  0 24 76  0  0
 1  0 554944  27544   3504 165472    0    0     0     4 1389  780  0 30 70  0  0
 3  0 554944  24132   3512 165492   28    0    44    52 1715  850  0 30 69  1  0
 2  0 554944  25968   3512 165496    0    0     0    20 1408  756  0 33 67  0  0
 0  0 554944  25744   3512 165500    0    0     0     0 1582  753  0 35 65  0  0
 2  0 554944  20704   3512 165500    0    0     0     0 1368  735  0 27 73  0  0
 1  0 554944  26716   3512 165504    0    0     0     0 1392  689  0 24 76  0  0
 1  0 555976  24600   3144 152452    0 1008     0  1040 1703  880  0 44 56  0  0
 1  0 555976  27176   3144 152444    0    0     0    20 1707  944  1 51 49  0  0
 1  0 555976  38232   3144 152448    0    0     0     0 1350  778  0 32 68  0  0
 2  0 555976  39092   3144 152452    0    0     0     0 1246  788  0 33 68  0  0
 1  0 555976  42532   3144 152456    0    0     0     0 1575  791  1 31 68  0  0
 1  0 555976  41524   3152 152456    4    0     4    28 1415  801  0 33 66  1  0
