procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 502764  13628   2620 143580    0    0     0     0  623  438  0  6 94  0  0
 2  0 502764  13668   2620 143580    0    0     0     8 1061  562  1  9 90  0  0
 0  0 502764  12368   2620 143584    0    0     0     0  751  477  0 11 89  0  0
 3  0 502764  11460   2620 143584    0    0     0     4  798  558  0 12 88  0  0
 0  0 502764  11616   2628 143584    0    0     0    28  892  505  0 13 86  1  0
 0  0 502764  12576   2628 143588    0    0     0     0  757  496  0 12 88  0  0
 0  0 502764  13868   2628 143588    0    0     0    12  510  391  0  4 96  0  0
 2  0 502764  10788   2628 143588    0    0     0     0  824  515  1 10 90  0  0
 1  0 502764  14040   2628 143592    0    0     0     0  876  547  0 12 88  0  0
 0  0 502764  13052   2636 143592    0    0     0    32  586  461  0  3 97  0  0
 0  0 502764  13728   2636 143592    0    0     0     0  542  451  0  5 95  0  0
 2  0 502764  12308   2636 143584    0    0     0     8  879  603  0 15 85  0  0
 1  0 502764  13032   2636 143588    0    0     0     0  642  471  0  5 95  0  0
 1  0 502764  13992   2636 143588    0    0     0     0  521  429  0  4 96  0  0
 0  0 502764  13088   2644 143564    0    4     0    32  619  481  1  8 91  1  0
 0  0 502764  12684   2644 143576    0    0     0     4  528  422  0  3 97  0  0
 0  0 502764  13176   2644 143576    0    0     0     0  565  414  0  5 95  0  0
 1  0 502764  13172   2644 143592    0    0     0    12  572  435  0  4 96  0  0
 0  0 502764  12604   2644 143592    0    0     0     0  888  572  0 10 90  0  0
 1  0 502764  13508   2652 142972    0   80     0   108 1030  680  0 18 81  1  0
 1  0 502508  12492   2660 143720  124    0   872    28  818  621  0  8 90  2  0
 0  0 502508  13284   2660 143720    0    0     0     4  862  534  0  8 92  0  0
 0  0 502508  12228   2680 143964    8    0   240   108  528  437  0  4 95  1  0
 3  1 505068  24276   3400 135248  776 2940 22412  3532 2663 2540  1 37 53  9  0
 0  0 505068  34308   2640 124084    0    0  1806    64 1442 1167  0 15 83  2  0
 5  0 504812  24080   2672 132712  524    0  6626     0 1232 1248  1 15 80  4  0
 0  0 504556  16088   2832 140876  596    0  6972     0 1375 1244  0 16 81  3  0
 0  0 504556  16784   2788 141256   44    0  1732     0  917  720  1 11 88  1  0
 0  0 504556  17160   2796 141248    0    0     0   124  544  382  0  4 96  1  0
